City Name,State Abbreviation,State Name,City State
Columbia,SC,South Carolina,"Columbia, SC"
Charleston,SC,South Carolina,"Charleston, SC"
North Charleston,SC,South Carolina,"North Charleston, SC"
Mount Pleasant,SC,South Carolina,"Mount Pleasant, SC"
Rock Hill,SC,South Carolina,"Rock Hill, SC"
Greenville,SC,South Carolina,"Greenville, SC"
Summerville,SC,South Carolina,"Summerville, SC"
Spartanburg,SC,South Carolina,"Spartanburg, SC"
Hilton Head Island,SC,South Carolina,"Hilton Head Island, SC"
Florence,SC,South Carolina,"Florence, SC"
